Address Title,Address Code,Address Line 1,City,Postal Code,Destination Address
SLSO,"AKOLA , MAHARASHTRA","Wh Bearing No 1A1B 2A 2B 3C, Survey No 59 1B, Grampanchayat, House No. 706, Mouza Ridhora, Tehsil Balapur, AKOLA, Maharashtra ",AKOLA,444302,TRUE
10216942,Alok Industries,Silvassa,SILVASSA,396230,TRUE
30309438,Alok Industries Ltd,"Survey No 148 ,149,150,143/1, Morai, Valsad",VAPI,396191,TRUE
60400325,ALPHA MILKFOODS PRIVATE LIMITED,HATHRAS,HATHRAS,,TRUE
30850086,ALSTEN ENTERPRISES, PLOT NO. 848  & 849 MIE PART - A BAHADURGARH HARYANA ,BAHADURGARH,124507,TRUE
VX9C,AMBALA,"Reliance Retail  616/794, Village Mohra , Hadbast no. 188 Ambala",AMBALA,133004,TRUE
30108460,AMBER ENTERPRISES (INDIA) PVT LTD,"AMBER ENTERPRISES (INDIA) PVT LTD, P 14, STREET 1, SECTOR 3 MET INDUSTRIEAL COLOLNY, JHAJJAR GURGAON ROAD DISTT. JHAJJAR, JHAJJAR HARYANA INDIA",JHAJJAR,124103,TRUE
221781495,AMBER HOME,"E92/3, RAJHANS INDUSTRIES COMPOUND NEAR NILAM NAGAR BUS STOP, AKKALKOAT ROA SOLAPUR , MAHARASHTRA     ",SOLAPUR,413006,TRUE
60110803,AMITOJE INDIA PRIVATE LIMITED,NOIDA,NOIDA,,TRUE
33000001,Anmol knitters pvt ltd,"Bahadur Ke Road Near Dana Mandi, Ludhiana  ",LUDHIANA,141007,TRUE
Aroma De,Aroma De France,"BLOCK NO. 324, VILLAGE-RANU, TALUKA-PADRA, DISTRICT- VADODARA, Gujarat ",VADODARA,391445,TRUE
VAAF,ASF - Sindhubhavan,"Road, Oxygen Park, Sindhu Bhavan Marg, beside Monte Carlo, PRL Colony, Thaltej, Ahmedabad, Gujarat",AHMEDABAD,380058,TRUE
10156959,Ashirwad Oils Pvt Ltd,"E 374 Phase I, Industrial Area Bhiwadi , ALWAR Rajasthan",BHIWADI,301019,TRUE
221471205,ASHISH JAIN HOSIERY,"ASHISH JAIN HOSIERY B-24-3112, STREET NO 6-1/2, NEAR SIDHARTH PUBLIC SCHOOL, KULDEEP NAGAR, BASTI JODHEWAL, LUDHIANA, PUNJAB, LUDHIANA       ",LUDHIANA,141007,TRUE
10070498,Asian Lakto Industries Ltd,"VPO JANDIALI, NEAR KOHARA, CHANDIGHAD ROAD, LUDHIANA",LUDHIANA,141001,TRUE
