Address Code,Address Title,Address Line 1,Address Line 2,City/Town,Postal Code,Country,GST Category,Origin Address,State
30108460,AMBER ENTERPRISES (INDIA) PVT LTD,"AMBER ENTERPRISES (INDIA) PVT LTD, P 14, STREET 1, SECTOR 3 MET INDUSTRIEAL COLOLNY, JHAJJAR GURGAON ROAD DISTT. JHAJJAR, JHAJJAR HARYANA INDIA",124103,JHAJJAR,,India,Unregistered,TRUE,Gujarat
30108484,DIXON TECHNOLOGIES (INDIA) LTD,"DIXON TECHNOLOGIES, C-3/1CENTRAL HOPE TOWN INDUSTRIAL AREA SELAQUI, DEHRADUN, UTTARANCHAL, 248197",248197,DEHRADUN,,India,Unregistered,TRUE,Gujarat
30108556,PG ELECTROPLAST PVT LTD,"PG ELECTROPLAST PVT LTD, KHASRA NO 268 AND 275, 15TH MILESTO, ROORKEE - DEHRADUN NATIONAL HIGHWAY, VILL-RAIPUR, PARGANA-BHAGWANPUR, HARIDWAR UTTARANCHAL",247667,ROORKEE,,India,Unregistered,TRUE,Gujarat
30109349,WESTWAY ELECTRONICS LTD,"SECTOR 84 GAUTAM BUDDHA NAGAR, A-001D UTTAR PRADESH, INDIA",201305,NOIDA,,India,Unregistered,TRUE,Gujarat
30307006,"NYLON HOSIERY MILLS, LUDHIANA","B-32, E14/2004, GURBAX NAGAR, NEAR METRO G.T. ROAD. JALANDHER BYE PASS, LUDHIANA",141008,LUDHIANA,,India,Unregistered,TRUE,Gujarat
30402832,DAZZLE FOOTWEAR,"SELAQUI, DEHRADUN, SELAQUI",248197,DEHRADUN,,India,Unregistered,TRUE,Gujarat
30403131,BAHADURGARH,"SUPER KICKS, PLOT NO. 168, SECTOR 16, HSIIDC, BAHADURGARH, JAHAJJR, HARYANA",124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
30403412,KALZADO INITIATIVES LLP,"CENTRAL, HOPE TOWN KHASRA NO 323 MI TEHSIL, VIKAS NAGAR, SELAQUI SARA INDUSTRIAL ESTATE, DEHARADUN",248197,DEHRADUN,,India,Unregistered,TRUE,Gujarat
30850086,ALSTEN ENTERPRISES,PLOT NO. 848 & 849 MIE PART - A BAHADURGARH HARYANA,124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
30850092,OM POLYMERS,1404 &1417 MIE PART-B BAHADURGARH ( H.R,124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
30850635,SKG PLASTICS PVT LTD,"PLOT NO 267, SECTOR-17, FOOTWEAR PARK, BAHADURGARH, HARYANA",124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
32000371,RRL TRENDS JAIPUR,"180 GANGA VIHAR COLONY, MANGYAWAS. NEAR BHARAT MATA CIRCLE, MANSAROVER, JAIPUR, RAJASTHAN",302020,JAIPUR,,India,Unregistered,TRUE,Gujarat
32000828,"F 199, EPIP, SITAPURA, JAIPUR","F 199, EPIP, SITAPURA, JAIPUR (RAJ) INDIA",302022,JAIPUR,,India,Unregistered,TRUE,Gujarat
32000829,SAMARTH ENTERPRISES,"F-92, PRAHLADPURA INDUSTRIAL AREA, SITAPURA, JAIPUR, RAJASTHAN",302022,JAIPUR,,India,Unregistered,TRUE,Gujarat
32000830,LILADHAR CRAFTS,"PLOT NO.8-9, RAM RATAN COLONY B MUKUNDPURA ROAD, BHANKROTA JAIPUR RAJASTHAN",302026,JAIPUR,,India,Unregistered,TRUE,Gujarat
32000837,JAIN SHWETAMBER,"MOORTI KALA KENDRA, 1975, 4TH CROSSING KHANJANE WALON KA RASTA, CHANDPOL JAIPUR RAJASTHAN",302001,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001092,RAM GOPAL BLUE POTTERY,"81, VISHNU GARDEN OPP. SANGANER AIRPORT TONK ROAD JAIPUR, RAJASTHAN",302029,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001135,LIVING COCOON RETAIL LTD,F-191 SITAPURA INDUSTRIES AREA JAIPUR RAJASTHAN,302022,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001152,RAMESH HANDICRAFTS,"70, OLD AMER ROAD, JDA MARKET, KANWAR NAGAR, OPP. VIJAY SENIOR SCHOOL, JAIPUR, RAJASTHAN",302002,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001157,ABHINAV CRAFT,"F-2150/2151, RIICO INDUSTRIAL AREA RAMCHANDRAPURA, SITAPURA",302022,SITAPURA,,India,Unregistered,TRUE,Gujarat
32001159,RK DESIGN,"56, BUS STAND, VILL KHORA SHYAMDAS, TEHSIL AMER JAIPUR RAJASTHAN",303704,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001249,SANTOSH MARBLE HANDICRAFT,"176, LAXMI VATIKA, HATHOJ VILLAGE, KALWAD ROAD, JAIPUR, RAJASTHAN",302012,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001293,SALAWAS ART & CRAFTS,"NEAR KABIR ASHRAM, SALAWAS, JODHPUR, RAJASTHAN - PIN CODE : 342001",342001,JODHPUR,,India,Unregistered,TRUE,Gujarat
32001302,TRENDS HOSHIARPUR,"RAKESH OHRI, B 4/501, CHHATTA BAZAR, NAIABADI HOSHIARPUR, PUNJAB",146001,HOSHIARPUR,,India,Unregistered,TRUE,Gujarat
32001424,R K STUDIO POTTERIES,"PLOT NO. 8 OPP. S S GLOBAL SCHOOL, GURUKUL INDUSTRIAL AREA SEC - 38, FARIDABAD HARYANA",121003,NOIDA,,India,Unregistered,TRUE,Gujarat
32001489,U AND M DESIGNS,"KHASRA NO. 17/6, TANAWARA, LUNI TEHSIL JODHPUR, RAJASTHAN, INDIA",342013,JODHPUR,,India,Unregistered,TRUE,Gujarat
32001545,SUMATI POLYFIBERS,"F-2171, RIICO INDUSTRIAL AREA RAMCHANDRAPURA",302022,JAIPUR,,India,Unregistered,TRUE,Gujarat
32021104,PARASRAM APPARELS,"PARASRAM APPARELS, 449/6/7, STREE NO 0, JANAKPURI., NEW KIDWAI NAGAR, LUDHIANA, 141008",141008,LUDHIANA,,India,Unregistered,TRUE,Gujarat
32180022,SANSKRITI BASTAR,"PLOT NO 5-6, GANDI WARD, INDUSTRIAL STATE KONDAGAON CHHATTISGARH",494226,RAIPUR,,India,Unregistered,TRUE,Gujarat
32180600,PRACHI EXPORTS,"SF AND BASEMENT, B-104, OKHLA INDUS, AREA, PHASE-1, NEW DELHI, SOUTH DELHI, DELHI",110020,DELHI,,India,Unregistered,TRUE,Gujarat
32180697,CMT ARTS,"PLOT NO. 39, SAI VILLA, MISSION COMPOUND, NEAR AJMER PULIA, JAIPUR, RAJASTHAN",302001,JAIPUR,,India,Unregistered,TRUE,Gujarat
32180897,MEHAR TRADINGS,"B240, PAL SHILP GRAM, PAL VILLAGE, RIICO INDUSTRIAL AREA, JODHPUR",342014,JODHPUR,,India,Unregistered,TRUE,Gujarat
32181081,DESIGN DESTINATION,"J-125, PARSHWANATH CITY, PAL SANAGRIYA BYE PASS, SANGARIYA, JODHPUR, RAJASTHAN",342013,JODHPUR,,India,Unregistered,TRUE,Gujarat
32181089,NEW VISHWAKARMA HANDICRAFTS,"PLOT NO. 7, KHASRA NO. 1102 740, NEW VISHVAKARMA HANDICRAFTS, BEHIND BASNI POLICE, STATION, BASNI 2ND PHASE, JODHPUR, RAJASTHAN",342005,JODHPUR,,India,Unregistered,TRUE,Gujarat
32181188,TAJ HANDICRAFTS,"108, TAJ NAGARI, PHASE-1 TAJ EAST GATE ROAD, BEHIND TDI MALL, NEAR INDIA LEATHER HOUSE AGRA (UP)",282001,AGRA,,India,Unregistered,TRUE,Gujarat
33000001,ANMOL KNITTERS PVT LTD,"BAHADUR KE ROAD NEAR DANA MANDI, LUDHIANA",141007,LUDHIANA,,India,Unregistered,TRUE,Gujarat
33000073,YOUNGMAN WOOLLEN MILLS PVT LTD,VILLAGE SEERA RAHON ROAD LUDHIANA PUNJAB INDIA,141007,LUDHIANA,,India,Unregistered,TRUE,Gujarat
50015987,MIRC ELECTRONICS LTD,"VILLAGE KUDUS BHIWANDI WADA, DIST. PALGHAR, MAHARASHTRA",421312,PALGHAR,,India,Unregistered,TRUE,Gujarat
60010261,MEGASTAR FOODS LTD,"MEGASTAR FOODS LIMITED VILLAGE SOLKHIAN KURALI-ROPAR ROAD, RUPNAGAR, PUNJAB",140108,RUPNAGAR,,India,Unregistered,TRUE,Gujarat
60115828,RISIVEDA HERBAL PRODUCTS PVT LTD,"PLOT 30D, SECTOR 11 SIDCUL, HARIDWAR, HARIDWAR, UTTARAKHAND, 249403 HARIDWAR, UTTARAKHAND",249403,HARIDWAR,,India,Unregistered,TRUE,Gujarat
60250145,MANJUSHREE TECHNOPACK LTD,"PLOT NO 22B, 23, 23A, SECTOR 2, INTEGRATED INDL ESTATE PANTNAGAR UDHAM SINGH NAGAR, UDHAM SINGH NAGAR, UTTARAKHAND INDIA",263153,UDHAM SINGH NAGAR,,India,Unregistered,TRUE,Gujarat
60400209,AAKASH FOOD PRODUCTS PVT LTD,"DEWANMARO AYMA, AAKASH FOO",721304,KHARAGPUR,,India,Unregistered,TRUE,Gujarat
60400232,PUSHPAM FOODS & BEVERAGES PVT. LTD,"GAT NO 104/2A, VILLAGE BORATE VASTI, NANDUR, PUNE, MAHARASHTRA",412202,PUNE,,India,Unregistered,TRUE,Gujarat
60400379,DEVARPAN FOODS PVT LTD,KASHIPUR,244713,KASHIPUR,,India,Unregistered,TRUE,Gujarat
60400396,KANCHRATAN PACKAGING PVT LTD,INDORE,452010,INDORE,,India,Unregistered,TRUE,Gujarat
60400495,MUKESH OIL MILLS PVT LTD,E - 59 RIICO INDUSTRIAL AREA KHAIRTHA KISHANGARHBAS ALWAR RAJASTHAN - 301,301404,KHAIRTHAL,,India,Unregistered,TRUE,Gujarat
60402277,VIDHYASAGAR PROTIENS PVT LTD,"SARNA DUNAGR INDUSTRIAL AREA, BENAR ROAD JHOTWARA JAIPUR",302012,JAIPUR,,India,Unregistered,TRUE,Gujarat
80014506,KKG INDUSTRIES,"KKG INDUSTRIES, PLOT NO.31, SECTOR-3A, IIE, SIIDCUL, HARIDWAR, UTTARAKHAND, INDIA",247664,ROORKEE,,India,Unregistered,TRUE,Gujarat
80016312,VEELINE INDUSTRIES LTD,"PLOT NO : A-32, A-33 & A-34 INDUSTRIAL AREA BULANDSHAHR, SIKANDRABAD - 203206- UTTAR PRADESH",203206,BULANDSHAHR,,India,Unregistered,TRUE,Gujarat
80018344,ROYAL PLASTOCRAFT PVT LTD,"ROYAL PLASTOCRAFT PVT LTD SP 5 -1, RIICO INDUSTRIAL AREA, GHILOTH TEHSIL Â€“ NEEMRANA",301706,NEEMRANA,,India,Unregistered,TRUE,Gujarat
214886512,THE NIZAM COLLECTION,"627, KIDWAI NAGAR, HAPUR ROAD",250002,MEERUT,,India,Unregistered,TRUE,Gujarat
216951356,BELLA CASA FASHION & RETAIL LTD,E102-103 EPIP SITAPURA INDUSTRIAL AREA,302022,JAIPUR,,India,Unregistered,TRUE,Gujarat
217233490,CHARAN PAADUKA,"KHASRA. NO. 86/25/1, G/F, VILLAGE GHEVRA, MUNDKA",110041,DELHI,,India,Unregistered,TRUE,Gujarat
217639348,SHRUTI ENTERPRISES,"E-736, DSIIDC NARELA",110040,DELHI,,India,Unregistered,TRUE,Gujarat
217723652,"SS ENTERPRISES, FARIDABAD","S.S ENTERPRISES, PLOT NO.61/1, SIKAND COMPLEX; INDUSTRIAL AREA, N.I.T FARIDABAD",121001,FARIDABAD,,India,Unregistered,TRUE,Gujarat
218249648,CHETAK PLASTICS,"1501, GOKUL BALA GATE, MAGARWARA",209862,UNNAO,,India,Unregistered,TRUE,Gujarat
219768432,ELAHI FOOTWEAR CONCEPTS,"78/A, 125 FEET ROAD, TORAH, OPP NALANDA ESTATE, FATEHABAD ROAD",282003,AGRA,,India,Unregistered,TRUE,Gujarat
219772218,"SHOE ART INDIA, DELHI","SHOE ART INDIA, A-61, DSIIDC NARELA INDUSTRIAL AREA, DELHI",110040,DELHI,,India,Unregistered,TRUE,Gujarat
220025831,NEXGEN FOOTWEARS PVT LTD,"H-42, UDYOG NAGAR, PEERAGARHI, WEST DELHI, DELHI-110041",110043,DELHI,,India,Unregistered,TRUE,Gujarat
220810938,GANGA SALES CORPORATION,"PLOT NO 107, KH NO 111/17, NEAR RAJENDRA LAKRA SCHOOL, PHIRNI ROAD, INDUSTRIAL AREA, MUNDKA, NEW DELHI, INDIA",110041,DELHI,,India,Unregistered,TRUE,Gujarat
220835314,ACTION INTERNATIONAL PVT LTD,"D-5, UDYOG NAGAR, MAIN ROHTAK ROAD, NEW DELHI",110041,DELHI,,India,Unregistered,TRUE,Gujarat
221076934,AVANA OVERSEAS,"19/177, PEER KALYANI, MOTI LAL NEHRU ROAD, AGRA",282003,AGRA,,India,Unregistered,TRUE,Gujarat
221348336,J N SODAGAR HOSIERY,"B-5 583, 575 AND 577, WAIT GANJ, LUDHIANA PUNJAB, 141008",141008,LUDHIANA,,India,Unregistered,TRUE,Gujarat
221471205,ASHISH JAIN HOSIERY,"ASHISH JAIN HOSIERY B-24-3112, STREET NO 6-1/2, NEAR SIDHARTH PUBLIC SCHOOL, KULDEEP NAGAR, BASTI JODHEWAL, LUDHIANA, PUNJAB, LUDHIANA",141007,LUDHIANA,,India,Unregistered,TRUE,Gujarat
221519214,S.D POLYMER,"F-1488, DSIIDC INDL. AREA., NARELA, WEST DELHI, DELHI",110040,DELHI,,India,Unregistered,TRUE,Gujarat
221781495,AMBER HOME,"E92/3, RAJHANS INDUSTRIES COMPOUND NEAR NILAM NAGAR BUS STOP, AKKALKOAT ROA SOLAPUR, MAHARASHTRA",413006,SOLAPUR,,India,Unregistered,TRUE,Gujarat
221964446,AB POLYMER,"A B POLYMERS, KHASRA NO. 76/14/1, MIE-B, BAHADURGARH, HARYANA",124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
222084005,CAPITAL FOOTWEAR INDUSTRIES,"CAPITAL FOOTWEAR INDUSTRIES, GANGA VIHAR COLONY, TAJGANJ AGRA UP",282001,AGRA,,India,Unregistered,TRUE,Gujarat
222103664,KURBAAN COLLECTION,"INDIVIDUAL OR PROPRIETOR KURBAAN COLLECTION 1385, VARDHMAN NAGAR ST.NO.6, RAHON ROAD. LUDHIANA, PUNJAB",141004,LUDHIANA,,India,Unregistered,TRUE,Gujarat
222275006,MB RUBBER,"M B RUBBER PVT LTD. D-13, 14, 15, SITE IV INDUSTRIAL AREA, SAHIBABAD, DISTT GHAZIABAD (U.P.)",201010,GHAZIABAD,,India,Unregistered,TRUE,Gujarat
222589677,VITRAG FABRICS PVT. LTD,HUF VITRAG FABRICS PVT. LTD. F 198 MANDIA ROAD PALI PALI,306401,PALI,,India,Unregistered,TRUE,Gujarat
223652937,RAJYAREKHA TRADE PVT. LTD,"PLOT NO. 1021 MIE PART A, BAHDURGARH, HARYANA",124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
225540787,ITALICA INTERNATIONAL,"PLOT NO.28, SECTOR-17, HSIIDC, BAHADURGARH, HARYANA",124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
225696551,SHAMSONS POLYMER PVT. LTD,C-1 SITE IV INDUSTRIAL AREA SAHIBABAD GHAZIABAD U.P.-,201010,GHAZIABAD,,India,Unregistered,TRUE,Gujarat
2000179706,PRAGATI GENERAL STORES,DAHANU ROAD PALGHAR THANE,401802,THANE,,India,Unregistered,TRUE,Gujarat
2015004655,HOSHIARPUR TRENDS,"M.B. TOWERS, COURT RD, KRISHNA NAGAR, HOSHIARPUR, PUNJAB",146001,HOSHIARPUR,,India,Unregistered,TRUE,Gujarat
3101000550,"NH - 77, BAZAAR, NEAR R D HIGH","NH - 77, BAZAAR, NEAR R D HIGH SCHOOL, RUNNI SAIDPUR MADHYA, CHAK DONAI, BIHAR",843328,SITAMARHI,,India,Unregistered,TRUE,Gujarat
3101000583,VIA RETAIL PVT LTD,"ARUN PLAZA, CIVIL LINES, BIJNOR UTTAR PRADESH",246701,BIJNOR,,India,Unregistered,TRUE,Gujarat
8000962942,STORE SIKAR,"CWC JAGMALPURA SIKAR, JHIGAR CHOTI ROAD, JAGMA",332024,SIKAR,,India,Unregistered,TRUE,Gujarat
