Address Title,Address Code,Address Line 1,Postal Code,City,State,Origin Address
T2IU,BHOPAL,"Ashima Mall, Narmadapuram Rd, Danish Nagar, Bawaria Kalan, Bhopal, Madhya Pradesh ",BHOPAL,462026,TRUE,
10129676,Bikanerval Foods Private Limited,"Bikanervala Foods Private Limited M MURAD GARHI, Yamuna Expressway  Industrial Development Area Noida UP UTTAR PRADESH",NOIDA,203209,TRUE,
BIKANO,BIKANERVALA FOODS PRIVATE LIMITED,"PLOT NO-21, SECTOR-24, FARIDABAD, FARIDABAD HARYANA ",FARIDABAD,121001,TRUE,
RAI,Bikanervala Foods Pvt. Ltd.,"HSIIDC Industrial Estate, Phase-II, Plot no-2272-2275, Rai Haryana",RAI,131029,TRUE,
29000563,Bikanerwala Food Pvt Ltd,"Khasra No 1765,66,68,69,70,71,72,73,74,75, 1872, 1873/2 &1874/2, Village Jatola, Tehsil Kharkhauda, Kharkhoda, Sonipat, Haryana",SONIPAT,131 402,TRUE,
BNG,BNG FASHION GEARS. PVT.LTD,"Plot No- 319,320, Sec-17, HSIIDC, Bahadurghar, HR ",BAHADURGARH,124507,TRUE,
MISC-009,BOTAD,BOTAD,BOTAD,NA,TRUE,
BHRT,BRIJ HONEY PRIVATE LIMITED,"VILLAGE TEHRA LODHA NH 11 AGRA HIGHWAY BHARATPUR,RAJASTHAN INDIA",BHARATPUR,321001,TRUE,
SL43,Burhanpur,Central Warehouse Godown No 1 Bhadurpur Road,BURHANPUR,450331,TRUE,
PL-BHILWAR,"Calvintex Ventures Private Limited, BHILWARA","Mandapiya Choaraha , Chittor Road,Near Janki Process , Bhilwara ",BHILWARA,311001,TRUE,
PALGHAR,Canbara,"canbara ind pvt Ltd,Unit-3 1017/3, old satpati road, Shirgaon,palghar(w),dis-palghar-401404",PALGHAR,401404,TRUE,
222084005,CAPITAL FOOTWEAR INDUSTRIES,"Capital Footwear Industries, Ganga Vihar Colony, Tajganj Agra UP ",AGRA,282001,TRUE,
T5JK,Central Warehouse,"Kapadra Near GEB Office,Varanchha Road CWC Surat II,Surat City GUJARAT",SURAT,395006,TRUE,
TBGR,"Centro Mall, Panchavati Rd","beside Kaivanna Complex, Panchavati Society, Ambawadi, Ahmedabad, Gujarat",AHMEDABAD,380006,TRUE,
CHANDISAR,Chandisar – Palanpur,"VAISHNODEVI REFOILS & SOLVEX PLOT NO.235/3 VILLAGE - CHANDISAR TALUKA-PALANPUR, DIST-BANASKANTHA ",PALANPUR,385510,TRUE,
217233490,Charan Paaduka,"Khasra. No. 86/25/1, G/F, Village Ghevra, Mundka",DELHI,110041,TRUE,
SAJ4,CHEMCO PLASTIC INDUSTRIES PVT LTD," Plot No 32/33 Survey No 188/P,189/P Chemco Plastic Ind  Savli Industrie Alindra,Manjusar  Vadodara Gujarat",VADODARA,391775,TRUE,
SANAND,Chemco Plastic Industries Pvt. Ltd," BOL INDUSTRIAL ESTATE PHASE II,  ,BOL INDUSTRIAL ESTATE PHASE II,  ,PLOT NO. PE 45, SANAND GIDC, ROAD NO. F/38, SANAND Ahmedabad Gujarat",AHMEDABAD,382170,TRUE,
218249648,Chetak Plastics,"1501, Gokul Bala Gate, Magarwara,",UNNAO,209862,TRUE,
32180697,CMT Arts,"PLOT NO. 39, SAI VILLA, MISSION COMPOUND, NEAR AJMER PULIA ,JAIPUR,  RAJASTHAN",JAIPUR,302001,TRUE,
CONA FWEAR,"CONA FOOTWEAR INDIA PVT LTD,","C29/1 SITE-C UPSIDC SIKANDRA, AGRA ",AGRA,282007,TRUE,
Y-710,CPC NARODA,"RELIANCE RETAIL LTD, GATE NO 5, GIDC NARODA, AHMEDABAD",AHMEDABAD,382330,TRUE,
30304770,CREATIVE GARMENTS PVT LTD,"SURVEY/PLOT NO. 440/1,2,3, 443/1,2, 482/1,2,3 ,482/4&5 ( 1st,2nd FLR&EXCEPT 358.325 SQM.IN GR.FLR)482/2, NR.DABHELCHECK POST,DABHEL DAMAN & DNH",DAMAN & DIU (UT),396210,TRUE,
DAMOH,DAMOH,DAMOH,DAMOH,470661,TRUE,
30402832,DAZZLE FOOTWEAR,"Selaqui, Dehradun, SELAQUI",DEHRADUN,248197,TRUE,
Y734,DC,"19/8 Milestone, Saad Warehouse, Village Chhan, ",BHOPAL,462047,TRUE,
Y715,DC Jaipur,Vishwakarma Industrial Area,JAIPUR,,TRUE,
Y726,DC Pataudi,"Tajnagar Road, Jamalpur Chowk,",GURUGRAM,123502,TRUE,
DEEP,DEEP ENTERPRISES," PLOT NO 3278, G.F BLOCK-J, DSIDC NARELA INDUSTRIAL AREA, NEW DELHI",DELHI,110040,TRUE,
10204267,Deep Green Incorporation,"B-267, Sector-3, Bawana Industrial Area, Bawana, Delhi",DELHI,110039,TRUE,
32181081,DESIGN DESTINATION,"J-125, PARSHWANATH CITY, PAL SANAGRIYA BYE PASS, SANGARIYA, JODHPUR, RAJASTHAN,",JODHPUR,342013,TRUE,
60400379,DEVARPAN FOODS PRIVATE LIMITED,KASHIPUR,KASHIPUR,244713,TRUE,
AF_RABBY_R,Devpara Plot Charaniya Village Charaniya Taluka - ,"Rajkot, GJ 365480  ",RAJKOT,365480,TRUE,
SKFU,DIGITAL DC BHOPAL,BHOPAL,BHOPAL,464993,TRUE,
DIXON,Dixon Technologies,"C-3/1CENTRAL HOPE TOWN INDUSTRIAL AREA SELAQUI Dehradun, Uttaranchal    ",DEHRADUN,247670,TRUE,
30108484,DIXON TECHNOLOGIES (INDIA) LIMITED,"Dixon Technologies, , C-3/1CENTRAL HOPE TOWN INDUSTRIAL AREA SELAQUI, Dehradun, Uttaranchal , 248197,",DEHRADUN,248197,TRUE,
TUMKUR,DJ Brothers,"INDIA FOOD PARK, Plot No.33. Vasanthanarsapura,  KIADB Industrial Area Phase lll,Kora Hobli, Tumkur taluk, Tumkur District",TUMKUR,572138,TRUE,
G-NOIDA,"ECOTECH-11, UDYOG VIHAR","PLOT NO.42(Khasra no6661-662) ECOTECH-11, UDYOG VIHAR, GREATER NOIDA,UP,Gautam Buddha nagar, uttar pradesh-",NOIDA,201306,TRUE,
219768432,Elahi Footwear Concepts,"78/A, 125 Feet Road, Torah, Opp Nalanda Estate, Fatehabad Road",AGRA,282003,TRUE,
32000828,"F 199, EPIP, SITAPURA, JAIPUR","F 199, EPIP, SITAPURA, JAIPUR (RAJ) INDIA",JAIPUR,302022,TRUE,
SAMPAKA,F&L ECOMM SAMPAKA JIT CDC,QWIK SUPPLY CHAIN PRIVATE LIMITED Farukhnagar Gurgaon Village Sampaka,GURGAON,122503,TRUE,
FFPP,FABLE FOOD PRODUCTS PRIVATE LIMITED,MEHSANA,MEHSANA,,TRUE,
R465,FC GROCERY AHMEDABAD,NA,AHMEDABAD,380004,TRUE,
S837,FC VADODARA,"OPP RELIANCE GUJARATI MEDIUM SCHOOL, PETROCHEMICALS TOWNSHIP, REFINERY ROAD  VILLAGE UNDHERA, SECTOR-1 PO PETROCHEMICALS TOWNSHIP, VADODARA",VADODARA,391345,TRUE,
FERRO PL,FERRO SONA GARMENTS," PVT. LTD. RAHON ROAD, MANGAT ROAD, VILLAGE- KHAWAJKE, LUDHIANA- ",LUDHIANA,141007,TRUE,
F1CG,"FF-KALYAN-SARVODAYA MALL , Reliance Retail Limited","SARVODAYA MALL , KALYAN SHILPHATA ROAD , NEAR PATRI POOL , KALYAN ",KALYAN,421301,TRUE,
60400079,FICUS FOOD LAB PRIVATE LIMITED," PLOT NO. 228 BARODA JAMBUSAR HIGHWAY NEAR PADRA,   DABHASA, VADODARA VADODARA, Gujarat ",VADODARA,391440,TRUE,
OEE5,Final plot no 21,"Revenue Survey no:530 AHMEDABAD, Gujarat",AHMEDABAD,382427,TRUE,
FTFP,Fine Taste Foods Private Limited,"Plot No. 26/A, Ozone Industrial Park, Kerala G.I.D.C., Rajkot National Highway, Bavla, Ahmedabad, Gujarat-382220 (6359630406) Ahmedabad, Gujarat",AHMEDABAD,382220,TRUE,
STEELCO,FOOTCARE,"C-32 SITE C UPSIDC INDUSTRIAL AREA, SIKANDRA, AGRA",AGRA,282007,TRUE,
SD32,FRAO CDC RANCHI VILLAGE TETRI,"Address- CDC RANCHI VILLAGE TETRI FOOD L, Cdc Ranchi Village Tetri Bb F, Village Tetri  Thana Namkum, Ranchi, Jharkhand",RANCHI,834010,TRUE,
AF_EASY__3,"G-40 ( Wing B), Raghuvir Celeum Market, Opp. Sangi","Surat, GJ 395010  ",SURAT,395010,TRUE,
222349572,G.M HOSIERY,"G.M HOSIERY, TIRUPATI ESTATE,  292/1 PAIKI, USHA 5727/4, OPP. SWASTIC- BANSIDHAR,  NAROL ,AHMEDABAD, GUJARAT, INDIA",AHMEDABAD,382405,TRUE,
220810938,Ganga Sales Corporation,"PLOT NO 107, KH NO 111/17, NEAR RAJENDRA LAKRA SCHOOL,  PHIRNI ROAD, INDUSTRIAL AREA, MUNDKA, NEW DELHI,  INDIA    ",DELHI,110041,TRUE,
PL-KHAMBHA,Ghanshyam Rice Mill,"AT- Hariyan  Kanisha hariyan Road TA -Khambhat,",KHAMBHAT,388620,TRUE,
KOLHAPUR2,GHODAWAT CONSUMER,"GAT NO 593, 594, 611 & 612 A/P CHIPRI, JAYSINGPUR 416101, 416101, KOLHAPUR Maharashtra",KOLHAPUR,416101,TRUE,
KOLHAPUR,GHODAWAT CONSUMER LIMITED,"GHODAWAT CONSUMER LIMITED GAT NO-470/5/6/8, A/P-CHIPRI, TAL-SHIROL DIST-KOLHAPUR(MAHA) Kolhapur,Maharashtra",KOLHAPUR,416101,TRUE,
